date;total_cases;total_tests
31.12.2019;;
01.01.2020;;
02.01.2020;;
03.01.2020;;
04.01.2020;;
05.01.2020;;
06.01.2020;;
07.01.2020;;
08.01.2020;;
09.01.2020;;
10.01.2020;;
11.01.2020;;
12.01.2020;;
13.01.2020;;
14.01.2020;;
15.01.2020;;
16.01.2020;;
17.01.2020;;
18.01.2020;;
19.01.2020;;
20.01.2020;;
21.01.2020;;
22.01.2020;;
23.01.2020;;
24.01.2020;;
25.01.2020;;
26.01.2020;;
27.01.2020;;
28.01.2020;;
29.01.2020;;
30.01.2020;;
31.01.2020;;
01.02.2020;;
02.02.2020;;
03.02.2020;;
04.02.2020;;
05.02.2020;;
06.02.2020;;
07.02.2020;;
08.02.2020;;
09.02.2020;;
10.02.2020;;
11.02.2020;;
12.02.2020;;
13.02.2020;;
14.02.2020;;
15.02.2020;;
16.02.2020;;
17.02.2020;;
18.02.2020;;
19.02.2020;;
20.02.2020;;
21.02.2020;;
22.02.2020;;
23.02.2020;;
24.02.2020;;
25.02.2020;;218
26.02.2020;2;321
27.02.2020;2;447
28.02.2020;5;763
29.02.2020;7;1649
01.03.2020;10;
02.03.2020;14;
03.03.2020;18;2683
04.03.2020;24;3138
05.03.2020;29;3711
06.03.2020;41;4000
07.03.2020;74;4308
08.03.2020;99;4509
09.03.2020;102;4734
10.03.2020;131;5026
11.03.2020;182;5362
12.03.2020;246;5869
13.03.2020;361;6582
14.03.2020;504;7467
15.03.2020;655;8167
16.03.2020;860;8490
17.03.2020;1016;10278
18.03.2020;1332;11977
19.03.2020;1646;13724
20.03.2020;2196;15613
21.03.2020;2649;18545
22.03.2020;3024;21368
23.03.2020;3631;23429
24.03.2020;4486;28391
25.03.2020;5282;32407
26.03.2020;5888;35995
27.03.2020;7029;39552
28.03.2020;7697;42750
29.03.2020;8291;46441
30.03.2020;8813;49455
31.03.2020;9618;52344
01.04.2020;10182;55863
02.04.2020;10711;92190
03.04.2020;11129;98343
04.04.2020;11525;104134
05.04.2020;11766;108416
06.04.2020;11983;111296
07.04.2020;12297;115235
08.04.2020;12640;120755
09.04.2020;12969;126287
10.04.2020;13248;134743
11.04.2020;13560;140975
12.04.2020;13807;144877
13.04.2020;13937;148412
14.04.2020;14043;151796
15.04.2020;14234;156801
16.04.2020;14370;162816
17.04.2020;14448;169272
18.04.2020;14603;175932
19.04.2020;14662;179243
20.04.2020;14710;182949
21.04.2020;14783;189018
22.04.2020;14833;201794
23.04.2020;14924;205835
24.04.2020;14985;212686
25.04.2020;15068;221089
26.04.2020;15134;227631
27.04.2020;15189;232537
28.04.2020;15256;239578
29.04.2020;15314;247754
30.04.2020;15364;256399
01.05.2020;15424;264079
02.05.2020;15458;269619
03.05.2020;15470;274355
04.05.2020;15538;279071
05.05.2020;15569;285883
06.05.2020;15586;292254
07.05.2020;15651;297894
08.05.2020;15673;304069
09.05.2020;15735;311690
10.05.2020;15777;316508
11.05.2020;15787;319484
12.05.2020;15874;329314
13.05.2020;15910;336252
14.05.2020;15964;344606
15.05.2020;16005;351351
16.05.2020;16068;357393
17.05.2020;16140;362509
18.05.2020;16154;365873
19.05.2020;16179;372435
20.05.2020;16257;379592
21.05.2020;16275;
22.05.2020;16332;390488
23.05.2020;16361;396363
24.05.2020;16407;401857
25.05.2020;16439;405341
26.05.2020;16459;411185
27.05.2020;16497;418706
28.05.2020;16515;427372
29.05.2020;16543;434302
30.05.2020;16594;442143
31.05.2020;16638;448534
01.06.2020;16642;451820
02.06.2020;16663;456378
03.06.2020;16674;462958
04.06.2020;16705;471466
05.06.2020;16741;479449
06.06.2020;16803;485912
07.06.2020;16822;489597
08.06.2020;16868;494761
09.06.2020;16889;500921
10.06.2020;16902;506344
11.06.2020;16936;512501
12.06.2020;16964;
13.06.2020;16994;520976
14.06.2020;17014;524840
15.06.2020;17038;527670
16.06.2020;17065;532700
17.06.2020;17098;540615
18.06.2020;17115;545927
19.06.2020;17155;552130
20.06.2020;17185;558208
21.06.2020;17247;560584
22.06.2020;17285;565800
23.06.2020;17320;572473
24.06.2020;17351;578584
25.06.2020;17384;584243
26.06.2020;17431;590442
27.06.2020;17498;597495
28.06.2020;17562;602520
29.06.2020;17625;606375
30.06.2020;17666;612756
01.07.2020;17777;620866
02.07.2020;17814;628700
03.07.2020;17952;635505
04.07.2020;18073;642679
05.07.2020;18196;647804
06.07.2020;18269;654105
07.07.2020;18326;660149
08.07.2020;18415;668220
09.07.2020;18516;675727
10.07.2020;18613;683484
11.07.2020;18687;691709
12.07.2020;18795;696740
13.07.2020;18847;700616
14.07.2020;18859;
15.07.2020;19060;716293
16.07.2020;19115;726345
17.07.2020;19268;734413
18.07.2020;19406;743090
19.07.2020;19508;748669
20.07.2020;19571;798436
21.07.2020;19679;805600
22.07.2020;19818;814681
23.07.2020;19958;826031
24.07.2020;20122;833841
25.07.2020;20229;840890
26.07.2020;20349;847898
27.07.2020;20486;861206
28.07.2020;20550;870602
29.07.2020;20682;880036
30.07.2020;20846;890461
31.07.2020;21009;897819
01.08.2020;21098;905314
02.08.2020;21224;910437
03.08.2020;21309;916778
04.08.2020;21341;923902
05.08.2020;21472;
06.08.2020;21575;937275
07.08.2020;21689;947305
08.08.2020;21819;955239
09.08.2020;21935;961868
10.08.2020;22011;965758
11.08.2020;22122;974508
12.08.2020;22260;983018
13.08.2020;22501;991508
14.08.2020;22730;1003432
15.08.2020;22951;1009354
16.08.2020;23211;1018490
17.08.2020;23373;1024067
18.08.2020;23717;1037888
19.08.2020;23875;1048216
20.08.2020;24300;1061437
21.08.2020;24608;1075409
22.08.2020;24883;1087155
23.08.2020;25099;1094987
24.08.2020;25239;1101206
25.08.2020;25547;1110089
26.08.2020;25838;1119199
27.08.2020;26154;1133243
28.08.2020;26381;1147944
29.08.2020;26763;1160743
30.08.2020;26937;1172092
31.08.2020;27218;1180711
01.09.2020;27404;1193127
02.09.2020;27741;1210568
03.09.2020;28183;1225257
04.09.2020;28495;1236489
05.09.2020;28766;1247807
06.09.2020;28974;1255825
07.09.2020;29194;1266223
08.09.2020;29705;1276477
09.09.2020;30200;1288059
10.09.2020;30954;1303030
11.09.2020;31451;1316819
12.09.2020;32456;1331493
13.09.2020;32951;1342066
14.09.2020;33335;1351408
15.09.2020;33884;1364508
16.09.2020;34744;1379839
17.09.2020;35448;
18.09.2020;36370;1413965
19.09.2020;37191;1432099
20.09.2020;37948;1444683
21.09.2020;38557;1458095
22.09.2020;39150;1472647
23.09.2020;39897;1489264
24.09.2020;40558;1507782
25.09.2020;41246;
26.09.2020;42317;1545634
27.09.2020;42940;1555499
28.09.2020;43466;1569992
29.09.2020;43885;1586578
30.09.2020;44607;1617987
01.10.2020;45753;1636573
02.10.2020;46317;1658412
03.10.2020;47189;
04.10.2020;48019;1686373
05.10.2020;48618;1698268
06.10.2020;49886;1716505
07.10.2020;50435;1735094
08.10.2020;51382;1756856
09.10.2020;52603;1775431
10.10.2020;53784;1795447
11.10.2020;54685;1809263
12.10.2020;55983;1822931
13.10.2020;56591;1844639
14.10.2020;57762;1861672
